Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Total Sales,Rating
Low Fat,NCQ41,Health and Hygiene,2000,OUT013,Tier 3,High,Supermarket Type1,0.01946418,14.8,1.963.794,5
Low Fat,DRJ35,Hard Drinks,2000,OUT013,Tier 3,High,Supermarket Type1,0.046545786,10.1,599.878,5
Low Fat,NCE31,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.184689756,7.67,354.216,5
Low Fat,FDY09,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.025342692,15.6,1.743.054,5
low fat,FDZ04,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.037923509,9.31,61.651,5
Low Fat,FDY07,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.121848436,11.8,468.402,5
Regular,FDO45,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.038029746,13.15,886.856,5
Low Fat,FDB09,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.057485328,16.25,1.262.046,5
Regular,FDP51,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.085274988,13.85,1.196.124,5
Regular,FDT50,Dairy,2000,OUT013,Tier 3,High,Supermarket Type1,0.108148913,6.75,956.752,5
Regular,FDQ08,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.018838681,0,629.536,5
Low Fat,DRL11,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.048115543,10.5,1.590.946,5
Low Fat,FDT34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.174621343,9.3,1.042.964,5
Regular,FDP01,Breakfast,2011,OUT010,Tier 3,Medium,Grocery Store,0.105994654,20.75,1.505.682,5
Low Fat,NCJ31,Others,2000,OUT013,Tier 3,High,Supermarket Type1,0.182501773,19.2,2.392.196,5
Low Fat,NCL30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.048931174,18.1,1.273.336,5
LF,FDF04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.013658248,17.5,2.563.304,5
LF,NCZ42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.011305479,10.5,2.355.248,5
Low Fat,FDG24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.014653896,7.975,82.425,5
Low Fat,FDV49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.025867353,10,2.646.226,5
Low Fat,FDX01,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.024201905,10.1,114.915,5
Low Fat,DRF27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028461453,8.93,152.234,5
Low Fat,FDF16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.086266286,7.3,1.472.076,5
Low Fat,FDU04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.005557062,7.93,1.221.414,5
Low Fat,FDP04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.013834247,15.35,627.168,5
Low Fat,FDD05,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.016637301,19.35,1.209.098,5
Low Fat,FDV07,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.031331581,9.5,1.111.228,5
Low Fat,FDT20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.041459804,10.5,392.164,5
Low Fat,FDC44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,15.6,1.119.518,5
Low Fat,DRM59,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.003597678,5.88,1.538.998,5
Low Fat,DRG23,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.086916126,8.88,1.533.682,5
Low Fat,NCJ29,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.035247642,10.6,847.224,5
Low Fat,NCM42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028365524,6.13,1.100.912,5
Low Fat,NCY42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.015186146,6.38,144.947,5
Low Fat,NCX54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.048134591,9.195,1.077.622,5
Low Fat,NCI06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.047791878,11.3,180.766,5
Low Fat,NCQ02,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.007468056,12.6,1.869.556,5
Low Fat,NCR38,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.113694957,17.25,2.534.724,5
Low Fat,NCM30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.067400032,19.1,419.796,5
Low Fat,FDK43,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.026882496,9.8,126.302,5
Low Fat,FDK21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.010027885,7.905,2.496.408,5
Low Fat,FDR45,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028988288,10.8,2.392.222,5
Low Fat,FDV09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.020600553,12.1,1.475.734,5
Regular,FDU12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.075868843,15.5,2.617.568,5
Regular,FDZ47,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.079419755,20.7,998.042,5
Regular,FDO11,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.030311951,8,2.474.092,5
Regular,FDU49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.030742083,19.5,85.554,5
Regular,FDA02,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02976887,14,1.454.786,5
Regular,FDV26,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,20.25,1.942.794,5
Regular,FDA04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.066833743,11.3,2.572.962,5
Regular,FDO52,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.077284566,11.6,1.724.106,5
Regular,FDA40,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.09942555,16,870.856,5
Regular,FDS27,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.012477512,10.195,197.111,5
Regular,FDU15,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.026643448,13.65,379.532,5
Regular,FDV33,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.027386122,9.6,2.592.304,5
Regular,FDV34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.011443222,10.695,735.038,5
Regular,FDX46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.058207114,12.3,591.562,5
low fat,NCA53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.009893817,11.395,503.034,5
reg,FDT24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.18614827,12.35,782.328,5
reg,FDX27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.114294512,20.7,949.436,5
LF,NCQ38,Others,1998,OUT019,Tier 1,Small,Grocery Store,0.023402893,0,108.228,5
Low Fat,FDK02,Canned,1998,OUT019,Tier 1,Small,Grocery Store,0.196490902,0,120.544,5
Low Fat,FDI15,Dairy,1998,OUT019,Tier 1,Small,Grocery Store,0.24749009,0,2.631.884,5
Low Fat,FDE09,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.037824735,0,1.097.228,5
Low Fat,FDS55,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.142107998,0,1.503.734,5
Low Fat,FDZ56,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.04506213,0,1.675.474,5
Low Fat,NCA05,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,0.044000492,0,1.482.734,5
Low Fat,NCK29,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,0,0,123.473,5
Low Fat,NCU29,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,0.044607722,0,145.976,5
Low Fat,NCX41,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,0.031024168,0,2.105.244,5
Low Fat,NCG07,Household,1998,OUT019,Tier 1,Small,Grocery Store,0.091924311,0,189.753,5
Low Fat,NCI30,Household,1998,OUT019,Tier 1,Small,Grocery Store,0.103188491,0,244.346,5
Low Fat,NCR54,Household,1998,OUT019,Tier 1,Small,Grocery Store,0.158562708,0,194.711,5
Low Fat,NCT06,Household,1998,OUT019,Tier 1,Small,Grocery Store,0.067824456,0,1.677.842,5
Low Fat,FDN15,Meat,1998,OUT019,Tier 1,Small,Grocery Store,0.029299175,0,140.318,5
Low Fat,FDJ45,Seafood,1998,OUT019,Tier 1,Small,Grocery Store,0.128532558,0,342.216,5
Regular,FDL13,Breakfast,1998,OUT019,Tier 1,Small,Grocery Store,0.098606543,0,232.73,5
Regular,FDL02,Canned,1998,OUT019,Tier 1,Small,Grocery Store,0.182236555,0,1.071.622,5
Regular,FDF56,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.209162936,0,1.791.976,5
Regular,FDQ27,Meat,1998,OUT019,Tier 1,Small,Grocery Store,0.077480627,0,101.399,5
Regular,FDG35,Starchy Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.012327847,0,1.738.738,5
reg,FDD38,Canned,1998,OUT019,Tier 1,Small,Grocery Store,0.014342659,0,1.037.674,5
reg,FDE41,Frozen Foods,1998,OUT019,Tier 1,Small,Grocery Store,0,0,837.566,5
Low Fat,FDP24,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.083004078,20.6,1.194.756,5
Low Fat,FDH38,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.01043823,6.425,1.158.808,5
Low Fat,FDT49,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.151405587,7,107.728,5
Low Fat,FDN02,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.073827748,16.5,2.088.638,5
Low Fat,DRF27,Dairy,2010,OUT046,Tier 1,Small,Supermarket Type1,0.028417272,8.93,154.534,5
Low Fat,FDT02,Dairy,2010,OUT046,Tier 1,Small,Supermarket Type1,0.024194731,12.6,361.874,5
Low Fat,FDF05,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.02687089,17.5,264.491,5
Low Fat,FDI45,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.037581243,13.1,1.755.054,5
Low Fat,FDZ20,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.034306962,16.1,2.523.356,5
Low Fat,NCC42,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,0.044908404,15,1.402.838,5
Low Fat,NCQ53,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,0.018905326,17.6,234.659,5
Low Fat,NCR54,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.090562192,16.35,198.211,5
Low Fat,NCX06,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.015687045,17.6,1.826.976,5
Low Fat,NCO06,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.108030434,19.25,324.558,5
Low Fat,NCN54,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.021326471,20.35,761.328,5
Low Fat,FDL27,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.010630949,6.17,659.826,5
Low Fat,FDV51,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.032538896,16.35,1.657.842,5
Low Fat,FDC46,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.116542484,17.7,1.826.266,5
Low Fat,FDZ58,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.052176861,17.85,1.228.072,5
Low Fat,FDN21,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.076855628,18.6,1.610.236,5
Low Fat,FDO58,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.039577173,19.6,1.661.526,5
Low Fat,DRD24,Soft Drinks,2010,OUT046,Tier 1,Small,Supermarket Type1,0.030795085,13.85,1.433.154,5
Low Fat,DRI37,Soft Drinks,2010,OUT046,Tier 1,Small,Supermarket Type1,0.107597879,15.85,587.904,5
Regular,FDI12,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.10039894,9.395,896.856,5
Regular,FDP12,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.045266806,9.8,369.874,5
Regular,FDO01,Breakfast,2010,OUT046,Tier 1,Small,Supermarket Type1,0.020718655,21.1,1.304.994,5
Regular,FDZ37,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.019768503,8.1,886.198,5
Regular,FDJ15,Dairy,2010,OUT046,Tier 1,Small,Supermarket Type1,0.023322478,11.35,1.825.608,5
Regular,FDM04,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.04712061,9.195,531.666,5
Regular,FDI40,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.125602951,11.5,1.008.358,5
Regular,FDX04,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.041571557,19.6,499.376,5
Regular,FDS15,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.078060601,9.195,1.063.596,5
Regular,FDJ57,Seafood,2010,OUT046,Tier 1,Small,Supermarket Type1,0.021573645,7.42,1.846.582,5
Regular,FDG21,Seafood,2010,OUT046,Tier 1,Small,Supermarket Type1,0.146299902,17.35,150.405,5
Regular,FDW21,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.005963881,5.34,995.358,5
Regular,FDX10,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.123710526,6.385,371.874,5
LF,DRI51,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0,17.25,1.715.764,5
LF,NCZ17,Health and Hygiene,2020,OUT017,Tier 2,Medium,Supermarket Type1,0,12.15,391.506,5
LF,DRE25,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.073697713,15.35,91.912,5
Low Fat,FDT60,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.075701524,12,1.246.388,5
Low Fat,FDN24,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.11349714,14.1,561.956,5
Low Fat,FDO37,Breakfast,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.021420031,8.06,2.320.326,5
Low Fat,FDI14,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.089859642,14.1,1.402.496,5
Low Fat,FDW37,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.124301968,19.2,897.488,5
Low Fat,DRC27,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.058220302,13.8,2.474.802,5
Low Fat,FDK16,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.115563679,9.065,960.094,5
Low Fat,FDK41,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.12780038,14.3,836.224,5
Low Fat,FDY31,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.043651198,5.98,1.461.418,5
Low Fat,FDT20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.041479396,10.5,368.164,5
Low Fat,FDI45,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.037657459,13.1,1.758.054,5
Low Fat,FDG57,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.072444983,14.7,486.034,5
Low Fat,FDN32,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.015591925,17.5,1.848.266,5
Low Fat,FDX19,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.096929994,19.1,2.338.958,5
Low Fat,FDP20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.045761855,19.85,125.602,5
Low Fat,NCR17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.024432767,9.8,1.164.492,5
Low Fat,NCT17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.041950753,10.8,1.900.214,5
Low Fat,NCU05,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.058855357,11.8,791.618,5
Low Fat,NCT42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.024937792,5.88,1.484.392,5
Low Fat,NCV18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.105459307,6.775,84.625,5
Low Fat,NCH43,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.070712031,8.42,2.164.192,5
Low Fat,NCE18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.021468792,10,251.675,5
Low Fat,NCC18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.177629525,19.1,1.739.422,5
Low Fat,NCJ42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.01433033,19.75,1.042.332,5
Low Fat,FDQ10,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.03324652,12.85,1.724.422,5
Low Fat,FDL34,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.041028937,16,1.426.496,5
Low Fat,DRK37,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0,5,189.853,5
Low Fat,DRF48,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.05190652,5.73,1.881.898,5
Low Fat,DRG49,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.067592098,7.81,2.460.486,5
Low Fat,FDX60,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.081050006,14.35,79.196,5
Low Fat,FDS13,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.125210375,6.465,2.668.884,5
Low Fat,FDC50,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.13727,15.85,944.094,5
Low Fat,FDK51,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.005264755,19.85,2.645.884,5
Low Fat,FDD17,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.032811503,7.5,2.396.906,5
Low Fat,FDJ28,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.021984639,12.3,1.912.162,5
Low Fat,FDP16,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.039517121,18.6,2.436.802,5
Low Fat,FDB20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.052274691,7.72,791.986,5
Low Fat,FDP56,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.046747071,8.185,499.692,5
Low Fat,FDT43,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.020664178,16.35,508.324,5
Low Fat,DRI59,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.041065647,9.5,2.235.088,5
Low Fat,DRN47,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.016921927,12.1,178.366,5
Low Fat,DRM23,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.136500981,16.6,1.733.422,5
Low Fat,NCN53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.030527166,5.175,335.874,5
Low Fat,NCT53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.048388423,5.4,1.630.526,5
Low Fat,NCQ05,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0,11.395,1.492.708,5
Low Fat,NCM53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.05233528,18.75,108.128,5
Low Fat,NCX42,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.006012413,6.36,1.630.526,5
Low Fat,NCT18,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.059741172,14.6,1.796.976,5
Low Fat,NCI30,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.059268885,20.25,246.446,5
Low Fat,NCE54,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.027052013,20.7,739.354,5
Low Fat,FDH19,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.033275634,19.35,1.738.738,5
Low Fat,FDT03,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.01005532,21.25,1.831.608,5
Low Fat,NCN19,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.012167988,13.1,190.253,5
Low Fat,NCQ43,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.111931193,17.75,1.088.912,5
Low Fat,FDK09,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.092282353,15.2,2.272.352,5
Low Fat,FDV46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.012679191,18.2,139.818,5
Low Fat,FDY46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.048160824,18.6,1.889.898,5
Regular,FDK26,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.032242661,5.46,187.624,5
Regular,FDI50,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.030905215,8.42,2.276.352,5
Regular,FDB26,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.031330907,14,52.364,5
Regular,FDY49,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.012036432,17.2,1.657.184,5
Regular,FDB04,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.063354531,11.35,889.856,5
Regular,FDA02,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.029782937,14,1.463.786,5
Regular,FDZ28,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.051596927,20,1.280.678,5
Regular,FDE17,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.054565932,20.1,1.522.366,5
Regular,FDQ19,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.014394261,7.35,2.413.512,5
Regular,FDM08,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.053692878,10.1,2.229.088,5
Regular,FDP03,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.061301149,5.15,1.221.388,5
Regular,FDU58,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0,6.61,1.864.898,5
Regular,FDU46,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.011148865,10.3,84.854,5
Regular,FDY34,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.01100413,10.5,1.671.842,5
Regular,FDO09,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.125528734,13.5,262.191,5
Regular,FDP48,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.044272226,7.52,181.395,5
Regular,FDI12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.100966837,9.395,868.856,5
Regular,FDY12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.141406394,9.8,500.008,5
Regular,FDX48,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.038102203,17.75,1.540.656,5
Regular,FDV60,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.118025091,20.2,195.811,5
Regular,FDQ47,Breads,2020,OUT017,Tier 2,High,Supermarket Type1,0.169137707,7.155,352.874,5
Regular,FDZ13,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,0.154363209,7.84,50.835,5
